Facility Type,Sector,ghg
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),CO
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),PM10
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),PM2.5
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),NOx
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),SO2_1
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),NH3
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),NMVOC
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),PM10_AGG
Secondary Copper Smelting/Refining Plant,Industry (energy + processes),PM2.5_AGG
Secondary Lead Smelting Plant,Industry (energy + processes),CO
Secondary Lead Smelting Plant,Industry (energy + processes),PM10
Secondary Lead Smelting Plant,Industry (energy + processes),PM2.5
Secondary Lead Smelting Plant,Industry (energy + processes),NOx
Secondary Lead Smelting Plant,Industry (energy + processes),SO2_1
Secondary Lead Smelting Plant,Industry (energy + processes),NH3
Secondary Lead Smelting Plant,Industry (energy + processes),NMVOC
Secondary Lead Smelting Plant,Industry (energy + processes),PM10_AGG
Secondary Lead Smelting Plant,Industry (energy + processes),PM2.5_AGG
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),CO
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),PM10
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),PM2.5
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),NOx
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),SO2_1
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),NH3
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),NMVOC
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),PM10_AGG
"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",Industry (energy + processes),PM2.5_AGG
Ship Yards,Industry (energy + processes),CO
Ship Yards,Industry (energy + processes),PM10
Ship Yards,Industry (energy + processes),PM2.5
Ship Yards,Industry (energy + processes),NOx
Ship Yards,Industry (energy + processes),SO2_1
Ship Yards,Industry (energy + processes),NH3
Ship Yards,Industry (energy + processes),NMVOC
Ship Yards,Industry (energy + processes),PM10_AGG
Ship Yards,Industry (energy + processes),PM2.5_AGG
Steam/Heating Facility,Industry (energy + processes),CO
Steam/Heating Facility,Industry (energy + processes),PM10
Steam/Heating Facility,Industry (energy + processes),PM2.5
Steam/Heating Facility,Industry (energy + processes),NOx
Steam/Heating Facility,Industry (energy + processes),SO2_1
Steam/Heating Facility,Industry (energy + processes),NH3
Steam/Heating Facility,Industry (energy + processes),NMVOC
Steam/Heating Facility,Industry (energy + processes),PM10_AGG
Steam/Heating Facility,Industry (energy + processes),PM2.5_AGG
Steel Mill,Industry (energy + processes),CO
Steel Mill,Industry (energy + processes),PM10
Steel Mill,Industry (energy + processes),PM2.5
Steel Mill,Industry (energy + processes),NOx
Steel Mill,Industry (energy + processes),SO2_1
Steel Mill,Industry (energy + processes),NH3
Steel Mill,Industry (energy + processes),NMVOC
Steel Mill,Industry (energy + processes),PM10_AGG
Steel Mill,Industry (energy + processes),PM2.5_AGG
Sugar Mill,Industry (energy + processes),CO
Sugar Mill,Industry (energy + processes),PM10
Sugar Mill,Industry (energy + processes),PM2.5
Sugar Mill,Industry (energy + processes),NOx
Sugar Mill,Industry (energy + processes),SO2_1
Sugar Mill,Industry (energy + processes),NH3
Sugar Mill,Industry (energy + processes),NMVOC
Sugar Mill,Industry (energy + processes),PM10_AGG
Sugar Mill,Industry (energy + processes),PM2.5_AGG
Taconite Processing,Industry (energy + processes),CO
Taconite Processing,Industry (energy + processes),PM10
Taconite Processing,Industry (energy + processes),PM2.5
Taconite Processing,Industry (energy + processes),NOx
Taconite Processing,Industry (energy + processes),SO2_1
Taconite Processing,Industry (energy + processes),NH3
Taconite Processing,Industry (energy + processes),NMVOC
Taconite Processing,Industry (energy + processes),PM10_AGG
Taconite Processing,Industry (energy + processes),PM2.5_AGG
Tank Battery,Resource production (gas and oil),CO
Tank Battery,Resource production (gas and oil),PM10
Tank Battery,Resource production (gas and oil),PM2.5
Tank Battery,Resource production (gas and oil),NOx
Tank Battery,Resource production (gas and oil),SO2_1
Tank Battery,Resource production (gas and oil),NH3
Tank Battery,Resource production (gas and oil),NMVOC
Tank Battery,Resource production (gas and oil),PM10_AGG
Tank Battery,Resource production (gas and oil),PM2.5_AGG
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),CO
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),PM10
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),PM2.5
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),NOx
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),SO2_1
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),NH3
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),NMVOC
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),PM10_AGG
"Textile, Yarn, or Carpet Plant",Industry (energy + processes),PM2.5_AGG
Tire Manuf (not retread),Industry (energy + processes),CO
Tire Manuf (not retread),Industry (energy + processes),PM10
Tire Manuf (not retread),Industry (energy + processes),PM2.5
Tire Manuf (not retread),Industry (energy + processes),NOx
Tire Manuf (not retread),Industry (energy + processes),SO2_1
Tire Manuf (not retread),Industry (energy + processes),NH3
Tire Manuf (not retread),Industry (energy + processes),NMVOC
Tire Manuf (not retread),Industry (energy + processes),PM10_AGG
Tire Manuf (not retread),Industry (energy + processes),PM2.5_AGG
Unspecified,Industry (energy + processes),CO
Unspecified,Industry (energy + processes),PM10
Unspecified,Industry (energy + processes),PM2.5
Unspecified,Industry (energy + processes),NOx
Unspecified,Industry (energy + processes),SO2_1
Unspecified,Industry (energy + processes),NH3
Unspecified,Industry (energy + processes),NMVOC
Unspecified,Industry (energy + processes),PM10_AGG
Unspecified,Industry (energy + processes),PM2.5_AGG
Wastewater Treatment Facility,Urban Processes,CO
Wastewater Treatment Facility,Urban Processes,PM10
Wastewater Treatment Facility,Urban Processes,PM2.5
Wastewater Treatment Facility,Urban Processes,NOx
Wastewater Treatment Facility,Urban Processes,SO2_1
Wastewater Treatment Facility,Urban Processes,NH3
Wastewater Treatment Facility,Urban Processes,NMVOC
Wastewater Treatment Facility,Urban Processes,PM10_AGG
Wastewater Treatment Facility,Urban Processes,PM2.5_AGG
Wet Corn Mill,Industry (energy + processes),CO
Wet Corn Mill,Industry (energy + processes),PM10
Wet Corn Mill,Industry (energy + processes),PM2.5
Wet Corn Mill,Industry (energy + processes),NOx
Wet Corn Mill,Industry (energy + processes),SO2_1
Wet Corn Mill,Industry (energy + processes),NH3
Wet Corn Mill,Industry (energy + processes),NMVOC
Wet Corn Mill,Industry (energy + processes),PM10_AGG
Wet Corn Mill,Industry (energy + processes),PM2.5_AGG
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),CO
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),PM10
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),PM2.5
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),NOx
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),SO2_1
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),NH3
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),NMVOC
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),PM10_AGG
"Woodwork, Furniture, Millwork Manufacturing",Industry (energy + processes),PM2.5_AGG
